iter	RMSE
0	2.656113358
1	2.596299364
2	2.540876935
3	2.489567642
4	2.442203492
5	2.398183088
6	2.357580004
7	2.320062139
8	2.285571587
9	2.253977194
10	2.224424547
11	2.197394784
12	2.172422279
13	2.149563718
14	2.128258353
15	2.108727623
16	2.090922592
17	2.074541956
18	2.059199527
19	2.045346147
20	2.032733328
21	2.020921459
22	2.010107778
23	2.000330111
24	1.991216115
25	1.983005638
26	1.975200465
27	1.968236424
28	1.961776862
29	1.955910137
30	1.95038256
31	1.945385505
32	1.940798288
33	1.9365603
34	1.932622647
35	1.929131988
36	1.925836129
37	1.922786154
38	1.919956642
39	1.917353581
40	1.914959319
41	1.912730828
42	1.910728619
43	1.908847715
44	1.907163858
45	1.905657631
46	1.904249765
47	1.902923833
48	1.90165617
49	1.900527834
50	1.899449803
51	1.898472238
52	1.897576353
53	1.896755586
54	1.896005813
55	1.895304115
56	1.89461118
57	1.894021988
58	1.893440352
59	1.892920603
60	1.892402192
61	1.891934553
62	1.891518463
63	1.891091757
64	1.890704043
65	1.890345352
66	1.890007998
67	1.889700141
68	1.889400689
69	1.889146509
70	1.888919886
71	1.888666795
72	1.888443769
73	1.888221122
74	1.888008305
75	1.887830662
76	1.887646823
77	1.887466755
78	1.887310952
79	1.887151204
80	1.887007713
81	1.886878489
82	1.886753994
83	1.886622002
84	1.886513669
85	1.88640239
86	1.886288927
87	1.88618148
88	1.886083229
89	1.885982872
90	1.885891493
91	1.885784439
92	1.885701171
93	1.885625154
94	1.885532402
95	1.885454085
96	1.885377518
97	1.885291834
98	1.885229519
99	1.885151299
100	1.885087897
101	1.885018152
102	1.884963998
103	1.884892337
104	1.884830832
105	1.884763923
106	1.884711997
107	1.88465254
108	1.884584464
109	1.884540188
110	1.884488052
111	1.884445855
112	1.884394987
113	1.884359138
114	1.884317153
115	1.884256297
116	1.884205772
117	1.884159203
118	1.884095271
119	1.884053216
120	1.883982129
121	1.883930529
122	1.883887712
123	1.88383586
124	1.883785222
125	1.883746645
126	1.883702371
127	1.883662309
128	1.883625842
129	1.88358473
130	1.88352026
131	1.883474959
132	1.883435041
133	1.883382238
134	1.883354789
135	1.883316022
136	1.883264098
137	1.883237715
138	1.883187187
139	1.883143275
140	1.883107135
141	1.883057107
142	1.883025578
143	1.882997495
144	1.882964644
145	1.8829056
146	1.88287136
147	1.8828213
148	1.882761511
149	1.882725354
150	1.882684555
151	1.88264975
152	1.882618598
153	1.882578275
154	1.882542139
155	1.882498279
156	1.882456469
157	1.882399419
158	1.882369258
