iter	Passed	Remaining
0	85	85522
1	162	80886
2	237	78863
3	292	72729
4	373	74389
5	441	73206
6	504	71560
7	567	70384
8	630	69393
9	694	68759
10	755	67910
11	805	66296
12	863	65541
13	925	65200
14	992	65180
15	1062	65346
16	1136	65725
17	1187	64800
18	1249	64500
19	1309	64170
20	1366	63697
21	1419	63122
22	1464	62227
23	1516	61677
24	1565	61055
25	1618	60637
26	1693	61025
27	1750	60766
28	1809	60594
29	1861	60202
30	1926	60222
31	1983	59994
32	2029	59474
33	2081	59144
34	2130	58745
35	2184	58506
36	2229	58036
37	2291	58005
38	2353	57993
39	2438	58515
40	2514	58817
41	2582	58908
42	2641	58792
43	2706	58810
44	2764	58658
45	2866	59446
46	2923	59284
47	2980	59103
48	3035	58916
49	3106	59021
50	3175	59084
51	3238	59040
52	3290	58787
53	3341	58545
54	3398	58388
55	3450	58170
56	3505	57988
57	3553	57709
58	3603	57466
59	3643	57087
60	3685	56732
61	3729	56426
62	3789	56362
63	3830	56024
64	3873	55716
65	3917	55437
66	3958	55127
67	4008	54942
68	4054	54701
69	4103	54522
70	4153	54340
71	4205	54210
72	4250	53969
73	4294	53736
74	4347	53624
75	4402	53527
76	4456	53416
77	4503	53233
78	4573	53323
79	4640	53368
80	4711	53460
81	4783	53552
82	4850	53583
83	4916	53616
84	4970	53502
85	5027	53434
86	5076	53271
87	5133	53206
88	5185	53082
89	5246	53051
90	5308	53024
91	5364	52944
92	5418	52846
93	5466	52686
94	5513	52527
95	5553	52299
96	5599	52128
97	5651	52017
98	5708	51954
99	5764	51884
100	5812	51736
101	5866	51645
102	5924	51597
103	5983	51550
104	6037	51463
105	6080	51282
106	6123	51107
107	6172	50977
108	6219	50839
109	6274	50767
110	6318	50606
111	6358	50411
112	6410	50322
113	6451	50141
114	6499	50016
115	6544	49871
116	6591	49746
117	6644	49663
118	6708	49668
119	6751	49514
120	6806	49448
121	6849	49292
122	6887	49105
123	6937	49008
124	6992	48948
125	7064	49000
126	7135	49047
127	7207	49099
128	7275	49126
129	7337	49105
130	7396	49062
131	7448	48981
132	7494	48854
133	7539	48725
134	7582	48582
135	7622	48426
136	7669	48314
137	7728	48272
138	7783	48213
139	7828	48087
140	7868	47936
141	7922	47866
142	7969	47763
143	8010	47616
144	8054	47494
145	8099	47378
146	8152	47304
147	8208	47253
148	8265	47206
149	8317	47134
150	8372	47075
151	8419	46971
152	8468	46881
153	8528	46850
154	8574	46744
155	8629	46686
156	8688	46650
157	8748	46623
158	8796	46527
159	8843	46428
160	8907	46419
161	8964	46370
162	9025	46343
163	9069	46234
164	9117	46140
165	9169	46067
166	9226	46024
167	9276	45939
168	9338	45920
169	9400	45896
170	9470	45911
171	9531	45884
172	9587	45833
173	9646	45791
174	9707	45765
175	9780	45791
176	9836	45735
177	9901	45726
178	9958	45674
179	10019	45645
180	10074	45586
181	10124	45504
182	10177	45436
183	10222	45334
184	10276	45273
185	10325	45188
186	10384	45149
187	10438	45084
188	10493	45028
189	10541	44938
190	10598	44888
191	10659	44860
192	10718	44816
193	10777	44778
194	10837	44738
195	10881	44636
196	10928	44545
197	10972	44445
198	11006	44303
199	11072	44288
200	11130	44246
201	11188	44201
202	11234	44107
203	11280	44015
204	11354	44035
205	11406	43963
206	11444	43843
207	11494	43767
208	11529	43635
209	11574	43541
210	11625	43473
211	11681	43420
212	11735	43361
213	11781	43270
214	11841	43235
215	11903	43204
216	11961	43159
217	12027	43146
218	12094	43132
219	12155	43095
220	12219	43070
221	12278	43029
222	12318	42921
223	12366	42840
224	12431	42818
225	12519	42877
226	12602	42914
227	12651	42838
228	12702	42765
229	12746	42673
230	12789	42575
231	12849	42537
232	12901	42470
233	12955	42408
234	13031	42420
235	13095	42394
236	13149	42334
237	13211	42298
238	13275	42269
239	13322	42188
240	13375	42125
241	13436	42085
242	13499	42052
243	13563	42023
244	13636	42023
245	13688	41955
246	13742	41894
247	13810	41876
248	13873	41842
249	13936	41808
250	14018	41833
251	14097	41846
252	14166	41828
253	14248	41847
254	14323	41846
255	14396	41839
256	14456	41794
257	14517	41750
258	14565	41670
259	14602	41559
260	14644	41465
261	14690	41378
262	14742	41313
263	14788	41228
264	14832	41138
265	14873	41042
266	14914	40943
267	14954	40845
268	14994	40747
269	15046	40681
270	15094	40605
271	15154	40559
272	15203	40488
273	15260	40435
274	15322	40394
275	15380	40346
276	15432	40280
277	15481	40208
278	15533	40141
279	15580	40063
280	15619	39965
281	15667	39891
282	15711	39805
283	15761	39736
284	15801	39643
285	15835	39532
286	15876	39442
287	15918	39355
288	15969	39287
289	16014	39208
290	16075	39166
291	16135	39124
292	16192	39070
293	16238	38994
294	16286	38921
295	16330	38839
296	16375	38760
297	16431	38707
298	16508	38704
299	16574	38673
300	16631	38623
301	16709	38619
302	16760	38554
303	16811	38490
304	16857	38412
305	16902	38334
306	16952	38267
307	16994	38182
308	17029	38081
309	17073	38002
310	17119	37927
311	17163	37847
312	17207	37768
313	17265	37719
314	17309	37640
315	17345	37545
316	17400	37489
317	17473	37474
318	17533	37431
319	17610	37423
320	17720	37482
321	17821	37525
322	17944	37611
323	18092	37749
324	18170	37739
325	18234	37700
326	18298	37659
327	18342	37578
328	18393	37514
329	18457	37474
330	18523	37437
331	18601	37426
332	18696	37449
333	18845	37577
334	18990	37697
335	19117	37779
336	19237	37847
337	19409	38015
338	19514	38050
339	19617	38080
340	19713	38096
341	19813	38120
342	19919	38154
343	20002	38143
344	20075	38113
345	20132	38054
346	20196	38006
347	20260	37959
348	20312	37888
349	20369	37829
350	20494	37894
351	20572	37871
352	20657	37862
353	20736	37840
354	20798	37788
355	20871	37757
356	20930	37698
357	20979	37622
358	21038	37564
359	21099	37510
360	21163	37461
361	21223	37405
362	21288	37357
363	21399	37390
364	21547	37487
365	21655	37513
366	21760	37532
367	21842	37512
368	21951	37537
369	22022	37498
370	22107	37481
371	22204	37484
372	22321	37522
373	22430	37544
374	22510	37517
375	22577	37469
376	22676	37474
377	22758	37448
378	22825	37399
379	22883	37336
380	22965	37311
381	23043	37279
382	23104	37220
383	23176	37178
384	23259	37155
385	23341	37128
386	23448	37142
387	23528	37111
388	23632	37119
389	23684	37044
390	23742	36979
391	23802	36918
392	23869	36866
393	23923	36796
394	23975	36721
395	24029	36651
396	24094	36597
397	24191	36591
398	24300	36603
399	24393	36590
400	24479	36566
401	24559	36533
402	24663	36536
403	24747	36509
404	24845	36500
405	24929	36473
406	25012	36443
407	25074	36381
408	25131	36314
409	25224	36298
410	25299	36256
411	25380	36222
412	25447	36169
413	25548	36162
414	25638	36141
415	25724	36113
416	25814	36090
417	25883	36038
418	25945	35977
419	26023	35937
420	26102	35898
421	26186	35867
422	26260	35820
423	26331	35771
424	26369	35676
425	26411	35587
426	26463	35511
427	26506	35424
428	26552	35340
429	26591	35249
430	26657	35192
431	26770	35197
432	26852	35162
433	26899	35081
434	26933	34983
435	26992	34917
436	27038	34834
437	27082	34749
438	27148	34693
439	27199	34618
440	27263	34558
441	27332	34505
442	27426	34484
443	27491	34426
444	27556	34368
445	27615	34302
446	27729	34305
447	27853	34319
448	27916	34257
449	27988	34207
450	28077	34179
451	28155	34135
452	28240	34100
453	28317	34055
454	28388	34004
455	28472	33967
456	28549	33922
457	28631	33882
458	28703	33831
459	28765	33768
460	28865	33749
461	28976	33743
462	29058	33702
463	29160	33685
464	29240	33641
465	29299	33575
466	29348	33495
467	29382	33400
468	29425	33315
469	29468	33230
470	29523	33159
471	29597	33109
472	29664	33051
473	29721	32981
474	29789	32925
475	29869	32881
476	29950	32838
477	30026	32790
478	30078	32716
479	30145	32657
480	30214	32601
481	30275	32536
482	30332	32467
483	30375	32384
484	30416	32298
485	30476	32232
486	30522	32152
487	30579	32083
488	30629	32007
489	30671	31923
490	30720	31846
491	30774	31775
492	30838	31714
493	30905	31656
494	30966	31591
495	31012	31512
496	31074	31449
497	31122	31372
498	31153	31278
499	31187	31187
500	31225	31101
501	31267	31018
502	31305	30932
503	31344	30847
504	31407	30785
505	31462	30716
506	31513	30642
507	31568	30574
508	31624	30505
509	31684	30441
510	31746	30379
511	31788	30298
512	31833	30220
513	31893	30155
514	31953	30092
515	32032	30045
516	32091	29980
517	32147	29912
518	32189	29832
519	32222	29743
520	32271	29669
521	32307	29583
522	32340	29495
523	32380	29414
524	32412	29325
525	32466	29257
526	32508	29177
527	32540	29089
528	32583	29010
529	32616	28923
530	32662	28849
531	32703	28769
532	32749	28693
533	32801	28624
534	32852	28553
535	32908	28488
536	32970	28426
537	33037	28370
538	33081	28293
539	33133	28224
540	33181	28152
541	33235	28084
542	33276	28005
543	33331	27939
544	33371	27860
545	33401	27773
546	33435	27689
547	33468	27605
548	33508	27526
549	33544	27445
550	33584	27367
551	33616	27283
552	33652	27201
553	33685	27118
554	33719	27036
555	33774	26971
556	33829	26905
557	33876	26833
558	33926	26765
559	33980	26699
560	34048	26644
561	34116	26589
562	34182	26532
563	34226	26458
564	34291	26401
565	34358	26345
566	34417	26283
567	34473	26219
568	34534	26158
569	34587	26091
570	34622	26012
571	34655	25931
572	34699	25858
573	34735	25779
574	34776	25704
575	34815	25627
576	34854	25551
577	34895	25477
578	34931	25399
579	34962	25317
580	35005	25244
581	35058	25179
582	35097	25103
583	35133	25026
584	35168	24948
585	35209	24874
586	35247	24799
587	35294	24729
588	35336	24657
589	35399	24599
590	35458	24539
591	35512	24474
592	35566	24410
593	35619	24346
594	35662	24274
595	35699	24198
596	35747	24130
597	35793	24061
598	35848	23998
599	35911	23940
600	35962	23874
601	36009	23807
602	36055	23738
603	36099	23668
604	36158	23607
605	36199	23535
606	36258	23475
607	36325	23420
608	36424	23385
609	36510	23342
610	36575	23286
611	36645	23232
612	36716	23179
613	36801	23135
614	36887	23092
615	37002	23066
616	37086	23021
617	37127	22949
618	37189	22890
619	37238	22823
620	37281	22753
621	37343	22694
622	37383	22621
623	37437	22558
624	37488	22493
625	37566	22443
626	37642	22393
627	37753	22363
628	37897	22353
629	37969	22299
630	38064	22259
631	38152	22215
632	38235	22168
