stat,line_type,threshold,n_bets,n_won,win_rate,roi,cumulative_pnl
pts,l10,0.0,94462,52603,0.5569,0.0631,5962.39
pts,l10,0.5,67242,38690,0.5754,0.0985,6621.08
pts,l10,1.0,42918,25689,0.5986,0.1427,6124.87
pts,l10,1.5,24677,15390,0.6237,0.1906,4704.05
pts,l10,2.0,12629,8259,0.654,0.2485,3138.26
pts,l10,2.5,6128,4172,0.6808,0.2997,1836.77
reb,l10,0.0,94462,51920,0.5496,0.0493,4658.47
reb,l10,0.5,29471,17738,0.6019,0.149,4392.62
reb,l10,1.0,6416,4201,0.6548,0.25,1604.13
reb,l10,1.5,1488,1030,0.6922,0.3215,478.37
reb,l10,2.0,430,319,0.7419,0.4163,179.0
reb,l10,2.5,125,92,0.736,0.4051,50.64
ast,l10,0.0,94462,50695,0.5367,0.0246,2319.82
ast,l10,0.5,16397,10057,0.6133,0.1709,2802.82
ast,l10,1.0,2552,1731,0.6783,0.2949,752.65
ast,l10,1.5,500,357,0.714,0.3631,181.55
ast,l10,2.0,118,86,0.7288,0.3914,46.18
ast,l10,2.5,33,27,0.8182,0.562,18.55
pts,ema,0.0,94462,55184,0.5842,0.1153,10889.77
pts,ema,0.5,74117,44755,0.6038,0.1528,11324.77
pts,ema,1.0,55410,34761,0.6273,0.1977,10952.23
pts,ema,1.5,39394,25628,0.6506,0.242,9532.41
pts,ema,2.0,26535,17876,0.6737,0.2861,7592.07
pts,ema,2.5,17087,11889,0.6958,0.3283,5610.29
reb,ema,0.0,94462,56013,0.593,0.132,12472.42
reb,ema,0.5,46044,29785,0.6469,0.235,10818.54
reb,ema,1.0,17559,12339,0.7027,0.3416,5997.38
reb,ema,1.5,5968,4422,0.741,0.4146,2474.04
reb,ema,2.0,2125,1642,0.7727,0.4752,1009.74
reb,ema,2.5,755,595,0.7881,0.5045,380.91
ast,ema,0.0,94462,54915,0.5813,0.1098,10376.23
ast,ema,0.5,31575,20499,0.6492,0.2394,7559.64
ast,ema,1.0,7985,5602,0.7016,0.3394,2709.78
ast,ema,1.5,2259,1652,0.7313,0.3961,894.83
ast,ema,2.0,656,526,0.8018,0.5308,348.19
ast,ema,2.5,214,174,0.8131,0.5523,118.18
pts,linreg,0.0,94462,51077,0.5407,0.0323,3049.1
pts,linreg,0.5,46364,26112,0.5632,0.0752,3486.42
pts,linreg,1.0,17685,10480,0.5926,0.1313,2322.37
pts,linreg,1.5,6219,3797,0.6105,0.1656,1029.85
pts,linreg,2.0,2308,1454,0.63,0.2027,467.83
pts,linreg,2.5,961,624,0.6493,0.2396,230.28
reb,linreg,0.0,94462,51464,0.5448,0.0401,3787.92
reb,linreg,0.5,13083,7772,0.5941,0.1341,1754.53
reb,linreg,1.0,1525,965,0.6328,0.2081,317.28
reb,linreg,1.5,262,180,0.687,0.3116,81.64
reb,linreg,2.0,47,32,0.6809,0.2998,14.09
reb,linreg,2.5,20,13,0.65,0.2409,4.82
ast,linreg,0.0,94462,51998,0.5505,0.0509,4807.38
ast,linreg,0.5,7432,4325,0.5819,0.111,824.86
ast,linreg,1.0,793,480,0.6053,0.1556,123.37
ast,linreg,1.5,99,69,0.697,0.3306,32.73
ast,linreg,2.0,19,16,0.8421,0.6077,11.55
ast,linreg,2.5,4,4,1.0,0.9091,3.64
