stat,model,fold_year,mae,rmse,n_samples
pts,naive_l5,2021,4.9987,6.4566,28338
pts,linear,2021,4.805,6.1479,28338
pts,random_forest,2021,4.7667,6.1119,28338
pts,xgb,2021,4.7701,6.1055,28338
pts,naive_l5,2022,5.0921,6.6011,23212
pts,linear,2022,4.9038,6.2934,23212
pts,random_forest,2022,4.8562,6.2477,23212
pts,xgb,2022,4.8526,6.2298,23212
pts,naive_l5,2023,5.1237,6.643,20338
pts,linear,2023,4.9283,6.3354,20338
pts,random_forest,2023,4.873,6.2835,20338
pts,xgb,2023,4.8772,6.2766,20338
pts,naive_l5,2024,5.1131,6.6294,22574
pts,linear,2024,4.8985,6.3052,22574
pts,random_forest,2024,4.8586,6.2637,22574
pts,xgb,2024,4.8593,6.2526,22574
reb,naive_l5,2021,2.069,2.7008,28338
reb,linear,2021,1.9812,2.5802,28338
reb,random_forest,2021,1.9634,2.5631,28338
reb,xgb,2021,1.9628,2.5614,28338
reb,naive_l5,2022,2.0854,2.7229,23212
reb,linear,2022,2.0007,2.5999,23212
reb,random_forest,2022,1.9851,2.5813,23212
reb,xgb,2022,1.9824,2.5773,23212
reb,naive_l5,2023,2.0627,2.7025,20338
reb,linear,2023,1.9818,2.5853,20338
reb,random_forest,2023,1.9635,2.5653,20338
reb,xgb,2023,1.9639,2.5661,20338
reb,naive_l5,2024,2.0614,2.7036,22574
reb,linear,2024,1.9789,2.5853,22574
reb,random_forest,2024,1.9607,2.5651,22574
reb,xgb,2024,1.9565,2.56,22574
ast,naive_l5,2021,1.431,1.9332,28338
ast,linear,2021,1.3807,1.8497,28338
ast,random_forest,2021,1.3677,1.8411,28338
ast,xgb,2021,1.3662,1.8376,28338
ast,naive_l5,2022,1.4671,1.9735,23212
ast,linear,2022,1.4194,1.8892,23212
ast,random_forest,2022,1.4034,1.8785,23212
ast,xgb,2022,1.4025,1.8754,23212
ast,naive_l5,2023,1.488,1.9967,20338
ast,linear,2023,1.4385,1.9098,20338
ast,random_forest,2023,1.4238,1.9014,20338
ast,xgb,2023,1.4228,1.8991,20338
ast,naive_l5,2024,1.5276,2.0427,22574
ast,linear,2024,1.4751,1.9537,22574
ast,random_forest,2024,1.4578,1.9421,22574
ast,xgb,2024,1.458,1.9394,22574
